frobenius_matrices|good_primes|kernel_polynomial|label|projective_kernel_polynomial
integer[]|integer[]|numeric[]|text|numeric[]

{{0,1,1,1},{1,2,2,2},{0,1,1,1},{1,2,1,0},{0,1,1,1},{1,2,1,0},{2,2,0,1},{0,2,2,2},{1,2,2,2},{1,0,2,1},{0,2,2,2},{1,2,1,0},{0,1,1,1},{0,1,1,1},{0,1,1,1},{1,2,1,0},{1,2,2,2},{0,2,2,2},{1,2,1,0},{1,2,2,2},{2,2,0,1},{2,2,0,1},{1,0,2,1}}|{2,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-1,-4,4,1,-2,-1,5,-4,1}|3.2.5.3|{-1,4,0,-1,1}
{{0,2,2,1},{0,1,2,0},{0,2,2,1},{2,2,0,2},{0,1,1,2},{1,2,0,1},{0,2,2,1},{2,0,1,1},{1,2,0,1},{0,1,2,0},{2,0,1,1},{2,2,0,2},{2,0,1,1},{0,2,2,1},{0,2,2,1},{2,2,0,2},{1,2,0,1},{0,1,1,2},{2,2,0,2},{2,2,0,2},{0,1,1,2},{2,0,1,1},{1,2,0,1}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,4,0,-6,0,0,0,1}|3.2.8.1|{3,-6,0,-2,1}
{{1,1,2,1},{0,2,1,0},{2,2,1,2},{1,2,1,0},{2,2,1,2},{1,2,1,0},{2,2,1,2},{1,0,0,2},{1,2,1,0},{0,2,1,0},{1,0,0,2},{0,2,1,2},{1,0,0,2},{1,1,2,1},{2,2,1,2},{1,2,1,0},{1,2,1,0},{1,1,2,1},{1,2,1,0},{0,2,1,2},{1,1,2,1},{1,0,0,2},{0,2,1,2}}|{5,7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-12,0,12,0,0,0,-4,0,1}|3.2.16.5|{3,-6,0,-2,1}
{{0,1,1,1},{2,2,0,1},{0,2,1,1},{0,1,1,1},{2,1,2,0},{0,2,2,2},{0,2,2,2},{0,1,1,1},{2,2,2,1},{2,2,2,1},{2,2,0,1},{1,0,0,1},{2,2,0,1},{0,1,1,1},{0,1,1,1},{2,1,2,0},{2,1,2,0},{2,2,0,1},{0,2,1,1},{0,2,1,1},{2,2,0,1},{2,2,0,1},{2,1,2,0}}|{2,5,7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-13,25,-34,17,-5,-7,7,-4,1}|3.2.19.1|{-5,8,6,-1,1}
{{0,2,2,2},{2,2,0,1},{0,2,1,1},{0,2,2,2},{2,1,2,0},{0,1,1,1},{0,1,1,1},{0,2,2,2},{2,2,2,1},{2,2,2,1},{2,2,0,1},{1,0,0,1},{2,2,0,1},{0,2,2,2},{0,2,2,2},{2,1,2,0},{2,1,2,0},{2,2,0,1},{0,2,1,1},{0,2,1,1},{2,2,0,1},{2,2,0,1},{2,1,2,0}}|{2,5,7,11,13,17,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-13,25,-34,17,-5,-7,7,-4,1}|3.2.19.2|{-5,8,6,-1,1}
{{1,1,0,1},{1,1,2,1},{2,1,0,2},{2,2,1,2},{2,1,0,2},{1,1,2,1},{1,1,2,1},{2,1,0,2},{0,2,1,0},{0,1,1,0},{2,1,0,2},{1,1,2,1},{0,1,1,0},{2,2,1,2},{2,1,0,2},{1,1,0,1},{0,1,1,0},{0,2,1,0},{0,2,1,0},{2,2,1,2},{0,1,1,0},{2,1,0,2}}|{7,11,13,17,19,23,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-3,0,-12,0,-6,0,0,0,1}|3.2.40.6|{4,-8,0,-2,1}
{{2,2,0,1},{1,2,2,0},{1,1,0,1},{2,1,1,0},{1,1,0,1},{1,2,2,0},{2,2,0,2},{1,2,2,0},{1,2,2,0},{2,0,0,2},{1,1,0,1},{2,2,0,2},{1,2,2,0},{1,2,2,0},{2,2,0,1},{1,2,2,2},{2,2,0,2},{2,2,0,1},{2,2,0,2},{2,2,0,2},{1,2,2,0},{2,2,0,1},{2,2,0,2}}|{2,5,7,11,13,17,19,23,29,31,37,43,47,53,59,61,67,71,73,79,83,89,97}|{-16,-4,22,-47,52,-37,17,-4,1}|3.2.41.4|{-16,-44,-18,-1,1}
{{1,1,2,1},{2,1,2,0},{2,2,1,2},{0,1,2,1},{1,1,2,1},{2,0,0,2},{2,2,1,2},{2,2,2,1},{2,1,2,0},{0,2,2,0},{0,1,2,1},{0,2,2,0},{2,2,1,2},{0,2,2,0},{0,1,2,1},{2,1,2,0},{0,2,2,0},{2,2,2,1},{2,2,2,1},{2,2,1,2},{0,2,2,0},{2,2,2,1}}|{5,7,11,13,17,19,29,31,37,41,43,47,53,59,61,67,71,73,79,83,89,97}|{-8,20,-26,-1,-17,2,-2,-1,1}|3.2.46.5|{-2,5,3,-1,1}
